
=====================================================================================================================================================
                                                                                     Model 1
(Conviviality)  Model 2
(Identity)   Model 3
(Threat)   
-----------------------------------------------------------------------------------------------------------------------------------------------------
Cov: comuna know_inm_t1t4Now know frien_inm_t1t4Now have friends                        -0.01                   -0.04                -0.08           
Cov: comuna know_inm_t1t4Now know frien_inm_t1t4No longer have friends                  -0.00                   -0.05                -0.06           
Cov: comuna know_inm_t1t4No longer know frien_inm_t1t4Stable, have friends               0.01                   -0.01                 0.01           
Cov: comuna know_inm_t1t4No longer know frien_inm_t1t4Now have friends                  -0.01                   -0.03                -0.07           
Cov: comuna know_inm_t1t4No longer know frien_inm_t1t4No longer have friends             0.01                   -0.03                -0.08           
Cov: comuna frien_inm_t1t4Stable, have friends frien_inm_t1t4Now have friends           -0.01                    0.01                 0.01           
Cov: comuna frien_inm_t1t4Stable, have friends frien_inm_t1t4No longer have friends      0.01                    0.03                -0.00           
Cov: comuna frien_inm_t1t4Now have friends frien_inm_t1t4No longer have friends         -0.00                    0.03                 0.03           
Var: Residual                                                                            0.26                    0.27                 0.90           
=====================================================================================================================================================
*** p < 0.001; ** p < 0.01; * p < 0.05
